Entreprise;Code;Valeur
ABERDEEN ASSET MANAGEMENT;USDE;1
ADMIRAL GROUP;USDE;3
AGGREKO;USDE;3
AMEC ;USDE;20
ANGLO AMERICAN;USDE;6
ANTOFAGASTA;USDE;3
ARM HOLDINGS;USDE;5
ASHMORE GROUP PLC;USDE;3
ASSOCIATED BRITISH FOODS ;USDE;12
ASTRAZENECA;USDE;23
AVIVA;USDE;9
BABCOCK INTERNATIONAL GROUP ;USDE;9
BAE SYSTEMS;USDE;66
BARCLAYS;USDE;183
BG GROUP;USDE;21
BHP BILLITON;USDE;49
BP;USDE;324
BRITISH AMERICAN TOBACCO;USDE;12
BRITISH SKY BROADCASTING GROUP;USDE;2
BT GROUP;USDE;40
BUNZL;USDE;12
BURBERRY GROUP;USDE;4
CAPITAL SHOPPING CENTRES GROUP;USDE;19
CARNIVAL;USDE;6
CENTRICA;USDE;36
COMPASS GROUP;USDE;47
CRH;USDE;28
CRODA INTERNATIONAL;USDE;4
DIAGEO;USDE;10
EVRAZ PLC;USDE;1
EXPERIAN;USDE;7
G4S;USDE;28
GKN;USDE;21
GLAXOSMITHKLINE;USDE;31
GLENCORE INTERNATIONAL;USDE;2
HAMMERSON;USDE;1
HSBC;USDE;146
ICAP;USDE;39
IMI;USDE;19
IMPERIAL TOBACCO GROUP ;USDE;14
INTERCONTINENTAL HOTELS GROUP;USDE;38
INTERNATIONAL AIRLINES GROUP;USDE;1
INTERTEK  GROUP;USDE;8
ITV;USDE;20
J SAINSBURY;USDE;2
JOHNSON MATTHEY;USDE;15
LEGAL & GENERAL GROUP;USDE;2
LLOYDS BANKING GROUP;USDE;37
MARKS AND SPENCER GROUP;USDE;2
MEGGITT;USDE;19
NATIONAL GRID;USDE;57
NEXT;USDE;1
OLD MUTUAL;USDE;98
PEARSON;USDE;48
PETROFAC INC.;USDE;2
PRUDENTIAL;USDE;63
RECKITT BENCKISER GROUP;USDE;10
REED ELSEVIER GROUP;USDE;68
REXAM;USDE;24
RIO TINTO;USDE;52
ROLLS-ROYCE GROUP;USDE;47
ROYAL DUTCH SHELL;USDE;162
RSA INSURANCE GROUP;USDE;1
SABMILLER;USDE;7
SCHRODERS;USDE;7
SERCO GROUP;USDE;6
SEVERN TRENT;USDE;6
SHIRE;USDE;18
SMITH & NEPHEW;USDE;11
SMITHS GROUP;USDE;26
STANDARD CHARTERED;USDE;6
STANDARD LIFE;USDE;1
TATE & LYLE;USDE;10
TESCO;USDE;2
THE BRITISH LAND COMPANY;USDE;2
THE ROYAL BANK OF SCOTLAND GROUP;USDE;104
THE SAGE GROUP;USDE;7
THE WEIR GROUP;USDE;9
UNILEVER;USDE;30
VEDANTA RESOURCES;USDE;1
VODAFONE GROUP;USDE;11
WOLSELEY;USDE;18
WPP;USDE;219
XSTRATA;USDE;9
AGGREKO;NL;6
AMEC ;NL;9
ANGLO AMERICAN;NL;24
ASHMORE GROUP PLC;NL;1
ASSOCIATED BRITISH FOODS ;NL;13
ASTRAZENECA;NL;13
AVIVA;NL;5
BABCOCK INTERNATIONAL GROUP ;NL;3
BAE SYSTEMS;NL;5
BARCLAYS;NL;13
BG GROUP;NL;16
BHP BILLITON;NL;35
BP;NL;59
BRITISH AMERICAN TOBACCO;NL;39
BT GROUP;NL;11
BUNZL;NL;11
BURBERRY GROUP;NL;1
CAPITA GROUP;NL;5
CARNIVAL;NL;3
CENTRICA;NL;7
COMPASS GROUP;NL;24
CRH;NL;21
CRODA INTERNATIONAL;NL;3
DIAGEO;NL;27
EURASIAN NATURAL RESOURCES CORPORATION;NL;6
G4S;NL;34
GKN;NL;2
GLAXOSMITHKLINE;NL;11
GLENCORE INTERNATIONAL;NL;2
HAMMERSON;NL;3
HSBC;NL;8
ICAP;NL;9
IMI;NL;6
IMPERIAL TOBACCO GROUP ;NL;12
INTERCONTINENTAL HOTELS GROUP;NL;8
INTERNATIONAL AIRLINES GROUP;NL;3
INTERTEK  GROUP;NL;5
ITV;NL;1
JOHNSON MATTHEY;NL;6
KAZAKHMYS;NL;21
KINGFISHER;NL;6
LEGAL & GENERAL GROUP;NL;7
LLOYDS BANKING GROUP;NL;21
MARKS AND SPENCER GROUP;NL;5
MEGGITT;NL;2
NATIONAL GRID;NL;14
NEXT;NL;1
OLD MUTUAL;NL;2
PEARSON;NL;8
PETROFAC INC.;NL;7
PRUDENTIAL;NL;10
RANDGOLD RESOURCES;NL;1
RECKITT BENCKISER GROUP;NL;17
REED ELSEVIER GROUP;NL;16
REXAM;NL;13
RIO TINTO;NL;14
ROLLS-ROYCE GROUP;NL;3
ROYAL DUTCH SHELL;NL;173
RSA INSURANCE GROUP;NL;7
SABMILLER;NL;44
SCHRODERS;NL;5
SHIRE;NL;3
SMITH & NEPHEW;NL;6
SMITHS GROUP;NL;5
SSE;NL;5
STANDARD CHARTERED;NL;13
STANDARD LIFE;NL;4
TATE & LYLE;NL;6
TESCO;NL;3
THE BRITISH LAND COMPANY;NL;22
THE ROYAL BANK OF SCOTLAND GROUP;NL;69
THE SAGE GROUP;NL;1
THE WEIR GROUP;NL;3
TULLOW OIL;NL;21
UNILEVER;NL;76
UNITED UTILITIES GROUP;NL;6
VEDANTA RESOURCES;NL;14
VODAFONE GROUP;NL;15
WHITBREAD;NL;2
WM MORRISON SUPERMARKETS;NL;1
WOLSELEY;NL;21
WPP;NL;117
XSTRATA;NL;2
AGGREKO;IE;1
ANGLO AMERICAN;IE;14
ARM HOLDINGS;IE;1
ASHMORE GROUP PLC;IE;1
ASSOCIATED BRITISH FOODS ;IE;15
ASTRAZENECA;IE;1
AVIVA;IE;32
BABCOCK INTERNATIONAL GROUP ;IE;1
BARCLAYS;IE;13
BG GROUP;IE;2
BHP BILLITON;IE;3
BP;IE;2
BRITISH AMERICAN TOBACCO;IE;10
BRITISH SKY BROADCASTING GROUP;IE;2
BT GROUP;IE;12
BUNZL;IE;9
BURBERRY GROUP;IE;2
CAPITA GROUP;IE;14
CENTRICA;IE;1
COMPASS GROUP;IE;9
CRH;IE;8
DIAGEO;IE;62
EURASIAN NATURAL RESOURCES CORPORATION;IE;2
EXPERIAN;IE;3
G4S;IE;13
GLAXOSMITHKLINE;IE;10
HSBC;IE;14
ICAP;IE;2
IMI;IE;5
IMPERIAL TOBACCO GROUP ;IE;8
INTERCONTINENTAL HOTELS GROUP;IE;1
INTERTEK  GROUP;IE;1
ITV;IE;1
J SAINSBURY;IE;4
