Source;Target;Weight;Label;Type
ADMIRAL GROUP;GB;18;18;undirected
AGGREKO;GB;14;14;undirected
AMEC ;GB;116;116;undirected
ANGLO AMERICAN;GB;280;280;undirected
ANTOFAGASTA;GB;13;13;undirected
ARM HOLDINGS;GB;8;8;undirected
ASHMORE GROUP PLC;GB;6;6;undirected
ASSOCIATED BRITISH FOODS ;GB;147;147;undirected
ASTRAZENECA;GB;32;32;undirected
AVIVA;USDE;9;9;undirected
BABCOCK INTERNATIONAL GROUP ;USDE;9;9;undirected
BAE SYSTEMS;USDE;66;66;undirected
BARCLAYS;USDE;183;183;undirected
BG GROUP;USDE;21;21;undirected
BHP BILLITON;USDE;49;49;undirected
BP;USDE;324;324;undirected
BRITISH AMERICAN TOBACCO;USDE;12;12;undirected
BRITISH SKY BROADCASTING GROUP;USDE;2;2;undirected
BT GROUP;USDE;40;40;undirected
BUNZL;USDE;12;12;undirected
BURBERRY GROUP;USDE;4;4;undirected
CAPITAL SHOPPING CENTRES GROUP;USDE;19;19;undirected
CARNIVAL;USDE;6;6;undirected
CENTRICA;USDE;36;36;undirected
COMPASS GROUP;USDE;47;47;undirected
CRH;USDE;28;28;undirected
CRODA INTERNATIONAL;USDE;4;4;undirected
DIAGEO;USDE;10;10;undirected
EVRAZ PLC;USDE;1;1;undirected
EXPERIAN;USDE;7;7;undirected
G4S;USDE;28;28;undirected
GKN;USDE;21;21;undirected
GLAXOSMITHKLINE;USDE;31;31;undirected
GLENCORE INTERNATIONAL;USDE;2;2;undirected
HAMMERSON;USDE;1;1;undirected
HSBC;USDE;146;146;undirected
ICAP;USDE;39;39;undirected
IMI;USDE;19;19;undirected
IMPERIAL TOBACCO GROUP ;USDE;14;14;undirected
INTERCONTINENTAL HOTELS GROUP;USDE;38;38;undirected
INTERNATIONAL AIRLINES GROUP;USDE;1;1;undirected
INTERTEK  GROUP;USDE;8;8;undirected
ITV;USDE;20;20;undirected
J SAINSBURY;USDE;2;2;undirected
