Entreprise;Code;Valeur
3M ;BM ;1
3M ;HK ;1
3M ;LU ;2
3M ;SG ;3
3M ;CH ;2
Abbott Laboratories ;BS ;2
Abbott Laboratories ;BB ;1
Abbott Laboratories ;BM ;5
Abbott Laboratories ;CR ;1
Abbott Laboratories ;GD ;1
Abbott Laboratories ;HK ;1
Abbott Laboratories ;IE ;13
Abbott Laboratories ;LV ;1
Abbott Laboratories ;LB ;1
Abbott Laboratories ;PA ;2
Abbott Laboratories ;SG ;2
Abbott Laboratories ;CH ;5
Abbott Laboratories ;VG ;1
Aetna ;BM ;4
Aetna ;KY ;1
Aetna ;HK ;2
Aetna ;IE ;1
Alcoa ;HK ;1
Alcoa ;LU ;2
Alcoa ;CH ;1
Allstate ;BM ;1
Altria Group ;VG ;3
Altria Group ;KY ;1
Altria Group ;CR ;2
Altria Group ;HK ;1
Altria Group ;IE ;2
Altria Group ;LV ;1
Altria Group ;LU ;1
Altria Group ;CW ;1
Altria Group ;PA ;2
Altria Group ;SG ;3
Altria Group ;CH ;21
American Express ;BH ;2
American Express ;VG ;2
American Express ;KY ;9
American Express ;GG ;6
American Express ;HK ;4
American Express ;JE ;4
American Express ;LU ;3
American Express ;CW ;2
American Express ;PA ;1
American Express ;SG ;2
American Express ;CH ;4
American International Group ;BH ;2
American International Group ;BM ;5
American International Group ;HK ;3
American International Group ;IE ;3
American International Group ;LU ;1
American International Group ;PA ;1
American International Group ;CH ;3
Apple ;IE ;1
Archer Daniels Midland Company ;KY ;2
Archer Daniels Midland Company ;IE ;1
Bank of America Corporation ;BS ;3
Bank of America Corporation ;BM ;2
Bank of America Corporation ;KY ;59
Bank of America Corporation ;GI ;2
Bank of America Corporation ;HK ;8
Bank of America Corporation ;IE ;14
Bank of America Corporation ;JE ;3
Bank of America Corporation ;LU ;15
Bank of America Corporation ;MU ;3
Bank of America Corporation ;SG ;5
Bank of America Corporation ;VI ;1
Boeing ;KY ;1
Boeing ;IE ;4
Boeing ;SG ;3
Boeing ;VI ;16
Cardinal Health ;BM ;2
Cardinal Health ;VG ;1
Cardinal Health ;IE ;5
Cardinal Health ;LU ;3
Cardinal Health ;MU ;1
Cardinal Health ;SG ;3
Cardinal Health ;CH ;4
Caterpillar ;BM ;13
Caterpillar ;CR ;1
Caterpillar ;GG ;1
Caterpillar ;LU ;3
Caterpillar ;MU ;1
Caterpillar ;PA ;3
Caterpillar ;CH ;13
Chevron ;BS ;5
Chevron ;BM ;16
Chevron ;LR ;1
Cisco Systems ;BB ;1
Cisco Systems ;CR ;1
Cisco Systems ;CY ;1
Cisco Systems ;HK ;5
Cisco Systems ;LV ;1
Cisco Systems ;MU ;2
Cisco Systems ;PA ;1
Cisco Systems ;SG ;6
Cisco Systems ;CH ;2
Citigroup ;BS ;16
Citigroup ;BB ;2
Citigroup ;BM ;19
Citigroup ;VG ;35
Citigroup ;KY ;90
Citigroup ;GI ;1
Citigroup ;HK ;40
Citigroup ;IE ;16
Citigroup ;IM ;1
Citigroup ;JE ;21
Citigroup ;MU ;15
Citigroup ;PA ;17
Citigroup ;KN ;1
Citigroup ;SG ;18
Citigroup ;CH ;8
Citigroup ;TC ;1
Coca Cola ;KY ;2
Coca Cola ;CR ;1
Coca Cola ;HK ;1
Coca Cola ;IE ;1
Coca Cola ;SG ;1
Coca Cola ;CH ;1
Comcast ;HK ;1
ConocoPhilips ;BS ;2
ConocoPhilips ;BM ;17
ConocoPhilips ;VG ;2
ConocoPhilips ;KY ;9
ConocoPhilips ;IE ;3
ConocoPhilips ;LR ;5
ConocoPhilips ;MH ;1
ConocoPhilips ;CH ;2
Countrywide Financial ;KY ;1
Countrywide Financial ;CR ;1
Countrywide Financial ;GG ;2
Countrywide Financial ;HK ;1
Countrywide Financial ;MU ;1
Countrywide Financial ;SG ;1
John Deere ;LU ;2
Dell ;BH ;1
Dell ;HK ;1
Dell ;IE ;10
Dell ;LB ;1
Dell ;LU ;1
Dell ;PA ;1
Dell ;SG ;5
Delphi ;LU ;3
Dow Chemical ;BH ;1
Dow Chemical ;HK ;5
Dow Chemical ;IE ;3
Dow Chemical ;LU ;3
Dow Chemical ;MU ;2
Dow Chemical ;SG ;6
Dow Chemical ;CH ;7
DuPont ;HK ;1
DuPont ;LU ;2
Exxon Mobil Corporation ;KY ;3
Exxon Mobil Corporation ;HK ;3
Exxon Mobil Corporation ;IE ;1
Exxon Mobil Corporation ;LU ;2
Exxon Mobil Corporation ;SG ;3
Exxon Mobil Corporation ;CH ;1
FedEx ;BS ;1
FedEx ;BB ;1
FedEx ;CR ;1
FedEx ;HK ;2
FedEx ;CW ;2
FedEx ;SG ;1
FedEx ;KN ;1
FedEx ;LC ;1
FedEx ;TC ;1
FedEx ;VI ;1
General Dynamics Corporation ;CH ;3
General Electric Company ;BM ;3
General Electric Company ;LU ;1
General Electric Company ;SG ;3
General Motors Corporation ;BB ;1
General Motors Corporation ;BM ;2
General Motors Corporation ;KY ;4
General Motors Corporation ;IE ;1
General Motors Corporation ;SG ;1
GMAC ;BM ;1
GMAC ;CH ;1
Goldman Sachs Group ;VG ;1
Goldman Sachs Group ;KY ;15
Goldman Sachs Group ;HK ;3
Goldman Sachs Group ;IE ;1
Goldman Sachs Group ;JE ;1
Goldman Sachs Group ;MU ;5
Hartford Financial Services ;BM ;7
Hartford Financial Services ;IE ;3
Hess Corporation ;KY ;4
Hess Corporation ;VI ;1
Hewlett Packard ;KY ;1
